宮城,34906,雪,駒ノ湯,こまのゆ,"",54,140,49,525,平9.10.20
宮城,34910,雪,古川,ふるかわ,"",35,140,54,28,昭63.10.31
宮城,34913,官,石巻,いしのまき,"",25,141,17,43,平15.3.1
宮城,34915,雪,新川,にっかわ,"",18,140,38,265,昭59.11.9
宮城,34917,官,仙台,せんだい,"",15,140,53,39,平10.12.24
宮城,34920,雪,白石,しろいし,"",0,140,36,86,昭59.11.8
山形,35900,雪,金山,かねやま,"",52,140,19,170,昭57.10.13
山形,35905,雪,狩川,かりかわ,"",48,139,58,17,昭54.11.2
山形,35907,官,新庄,しんじょう,"",45,140,18,105,平10.3.2
山形,35910,雪,櫛引,くしびき,"",40,139,50,33,昭57.10.14
山形,35915,雪,尾花沢,おばなざわ,"",36,140,24,106,昭54.10.31
山形,35920,雪,肘折,ひじおり,"",36,140,9,330,昭57.10.13
山形,35925,雪,大井沢,おおいさわ,"",23,139,59,440,昭54.11.5
山形,35927,官,山形,やまがた,"",15,140,20,153,平10.3.2
山形,35930,雪,長井,ながい,"",6,140,0,210,昭54.11.13
山形,35935,雪,小国,おぐに,"",4,139,44,140,昭54.11.7
山形,35940,雪,米沢,よねざわ,"",54,140,8,245,昭54.11.8
山形,35945,雪,左沢,あてらざわ,"",22,140,11,133,昭57.10.12
山形,35950,雪,向町,むかいまち,"",45,140,31,212,昭58.10.13
山形,35955,官,酒田,さかた,"",54,139,50,3,平10.3.2
福島,36905,雪,西会津,にしあいづ,"",35,139,39,165,昭55.11.6
福島,36910,雪,猪苗代,いなわしろ,"",33,140,6,519,昭54.11.9
福島,36915,雪,只見,ただみ,"",20,139,18,377,昭54.11.12
福島,36921,雪,金山,かねやま,"",28,139,31,296,昭55.11.6
福島,36923,官,若松,わかまつ,"",29,139,54,212,平10.3.2
福島,36925,雪,南郷,なんごう,"",15,139,32,494,昭55.11.7
福島,36935,雪,田島,たじま,"",12,139,47,544,昭57.10.21
福島,36937,官,白河,しらかわ,"",7,140,12,355,平10.11.26
福島,36940,雪,桧枝岐,ひのえまた,"",1,139,23,930,昭57.10.21
福島,36945,雪,湯本,ゆもと,"",16,140,3,640,昭60.12.4
福島,36950,雪,茂庭,もにわ,"",53,140,26,200,平4.10.23
福島,36955,官,福島,ふくしま,"",45,140,28,67,平10.3.2
茨城,40900,官,水戸,みと,"",22,140,28,29,平11.1.13
茨城,40905,官,つくば,つくば,"",3,140,7,25,平23.11.17
栃木,41900,雪,那須高原,なすこうげん,"",7,140,2,749,平元.11.1
栃木,41905,雪,土呂部,どろぶ,"",53,139,34,925,平元.11.1
栃木,41910,官,奥日光,おくにっこう,"",44,139,30,1292,平9.3.3
栃木,41915,官,宇都宮,うつのみや,"",32,139,52,119,平11.1.15
群馬,42900,雪,藤原,ふじわら,"",51,139,3,700,平元.11.1
群馬,42905,雪,みなかみ,みなかみ,"",48,138,59,531,平元.11.1
群馬,42910,雪,草津,くさつ,"",37,138,35,1223,平元.11.1
群馬,42915,官,前橋,まえばし,"",24,139,3,112,平11.1.12
埼玉,43900,官,秩父,ちちぶ,"",59,139,4,232,平9.3.3
埼玉,43905,官,熊谷,くまがや,"",9,139,22,30,平11.1.13
東京,44900,官,東京,とうきょう,"",41,139,45,25,平10.12.25
千葉,45900,官,銚子,ちょうし,"",44,140,51,20,平23.4.1
千葉,45905,官,千葉,ちば,"",36,140,6,3,平22.10.1
神奈川,46900,官,横浜,よこはま,"",26,139,39,39,平11.1.14
長野,48938,官,軽井沢,かるいざわ,"",20,138,32,999,平21.10.1
長野,48900,雪,野沢温泉,のざわおんせん,"",54,138,26,576,昭55.12.1
長野,48905,雪,信濃町,しなのまち,"",48,138,11,685,昭56.11.1
長野,48910,雪,飯山,いいやま,"",52,138,22,313,昭58.10.14
長野,48915,雪,小谷,おたり,"",49,137,55,550,昭58.10.13
長野,48920,雪,白馬,はくば,"",41,137,51,703,昭55.12.1
長野,48925,官,長野,ながの,"",39,138,11,418,平9.3.3
長野,48930,雪,大町,おおまち,"",31,137,49,784,昭56.11.1
長野,48935,雪,菅平,すがだいら,"",31,138,19,1253,昭56.11.1
長野,48936,官,松本,まつもと,"",14,137,58,610,平19.10.1
長野,48937,官,諏訪,すわ,"",2,138,6,760,平10.12.25
長野,48940,雪,開田高原,かいだこうげん,"",56,137,36,1130,平3.12.1
長野,48945,官,飯田,いいだ,"",31,137,49,516,平18.10.1
山梨,49900,官,甲府,こうふ,"",40,138,33,273,平10.12.26
山梨,49905,官,河口湖,かわぐちこ,"",30,138,45,860,平15.10.31
愛知,51900,官,名古屋,なごや,"",10,136,57,51,平11.1.20
岐阜,52900,雪,河合,かわい,"",18,137,6,471,昭55.10.27
岐阜,52905,雪,神岡,かみおか,"",19,137,18,455,昭58.10.12
岐阜,52910,雪,白川,しらかわ,"",16,136,53,478,昭58.10.11
岐阜,52913,官,高山,たかやま,"",9,137,15,560,平10.3.2
岐阜,52915,雪,長滝,ながたき,"",55,136,49,430,昭56.11.1
岐阜,52920,雪,樽見,たるみ,"",38,136,36,190,昭55.10.31
岐阜,52935,雪,関ケ原,せきがはら,"",21,136,28,130,平9.11.1
岐阜,52940,官,岐阜,ぎふ,"",24,136,45,13,平11.1.21
三重,53900,官,津,つ,"",44,136,31,3,平23.11.17
新潟,54900,官,相川,あいかわ,"",1,138,14,6,平9.3.3
新潟,54905,雪,下関,しもせき,"",5,139,33,33,昭55.10.29
新潟,54907,官,新潟,にいがた,"",53,139,1,4,平9.3.3
新潟,54910,雪,新津,にいつ,"",47,139,5,3,昭57.10.7
新潟,54915,雪,津川,つがわ,"",40,139,26,100,昭55.10.30
新潟,54920,雪,長岡,ながおか,"",27,138,49,23,昭55.11.4
新潟,54925,雪,柏崎,かしわざき,"",21,138,33,7,昭55.11.6
新潟,54930,雪,守門,すもん,"",20,139,2,222,昭55.11.4
新潟,54935,雪,小出,こいで,"",13,138,57,98,昭55.11.5
新潟,54937,官,高田,たかだ,"",6,138,14,13,平10.3.2
新潟,54940,雪,安塚,やすづか,"",6,138,27,126,昭55.11.6
新潟,54945,雪,十日町,とおかまち,"",8,138,43,170,昭55.11.6
新潟,54950,雪,能生,のう,"",5,138,1,55,昭55.11.7
新潟,54955,雪,関山,せきやま,"",56,138,13,350,昭55.11.7
新潟,54960,雪,湯沢,ゆざわ,"",56,138,48,340,昭57.10.8
新潟,54965,雪,津南,つなん,"",59,138,41,452,平元.11.1
富山,55900,雪,泊,とまり,"",57,137,33,13,昭55.10.29
富山,55905,雪,魚津,うおづ,"",49,137,25,48,昭55.10.29
富山,55907,官,伏木,ふしき,"",47,137,3,12,平9.3.3
富山,55908,官,富山,とやま,"",42,137,12,9,平9.3.3
富山,55910,雪,砺波,となみ,"",36,136,57,69,昭55.10.30
富山,55915,雪,氷見,ひみ,"",51,136,57,7,平元.11.1
富山,55920,雪,猪谷,いのたに,"",28,137,14,215,昭55.10.30
石川,56900,雪,珠洲,すず,"",26,137,17,4,昭55.12.1
石川,56903,官,輪島,わじま,"",23,136,53,5,平9.3.3
